Name,Wilaya,Address,Faxnumber,Banque,importZones,importCountries,Nature,Année de création,Capital,Effectifs de l’entreprise,Kompass ID,cat1,cat2
"Laiterie IGILAIT EL AMAL ZAHZOUH & CHIHEB,SNC",Wilaya Jijel,"7, rue des Maquisards prolongée,BP 63,18000 Jijel,Algérie",+213 34 547095,BADR Jijel-Larbi Ben m'hidi,,,Siège,2002,20 000 000 DZD,De 50 à 99 employés,DZ223145,"Laits,Crèmes,Beurres,Fromages,Yaourts","Lait frais,Lait pasteurisé,Lait écrémé,Lactosérum,Crème de lait bouilli,Beurre pasteurisé,Fromages à pâte pressée,Yaourts lactés"
"Compagnie Algérienne d'Assurance & de Réassurance,Spa",Wilaya Khenchela,"Cité des 700 logements Belle Vue,40000 Khenchela,Algérie",+213 32 725538,,,,Siège,None,,,DZ217488,"Compagnies générales d'assurances,Caisses d'assurances maladie,Compagnies d'assurance-crédit","Assurances des biens,Assurances contre le vol,Assurances-auto,Assurances responsabilité civile générale,Assurances-crédit pour les particuliers et les entreprises,Assurances multirisques,Assurances contre les accidents individuels,Assurances patronales contre les accidents du travail,Assurances pour les transports publics,Assurances pour les véhicules ferroviaires, le matériel roulant et son équipement,Assurances maritimes, dommages et sinistres, pour coques et machines de navires,Assurances aviation (moteurs, fuselages ou coques d'avions, équipement),Assurances sur fret (assurances sur facultés),Assurances pour les biens industriels,Assurances responsabilité civile, assurance au tiers,Assurances-maladie à garantie viagère,Mutuelles et assurances-maladie complémentaires, indemnités,Assurances-crédit pour crédit à court terme,Assurances-crédit pour crédit à moyen et long terme,Assurances-crédit de risque pré-crédit pour l'exportation"
"Algérienne du Commerce & Distribution Import Export,Sarl",Wilaya Jijel,"Route de la Soummam cité Rabta,18000 Jijel,Algérie",+213 34 597435,"BNA Jijel,BADR Pins Maritimes,SGA Chéraga",,,Siège,1999,200 000 DZD,De 50 à 99 employés,DZ001239,"Sucres,Grumes de bois par usage,Bois sculpté, pyrogravure et marqueterie,Barres en acier et acier laminé,Entreprises de bâtiment,Transport routier de produits en vrac,Conseil immobilier,Importateurs et exportateurs","Grumes de bois de charpente, zone tempérée,Ebénisterie d'art en bois,Barres en acier pour armature,Entreprises de charpente et menuiserie,Conseil en aménagement immobilier,Importateurs et exportateurs de bois brut,Importateurs et exportateurs de boissons et produits alimentaires"
"Hôtel EN NASSIM,SNC",Wilaya Jijel,"Boulevard Rouibah Hocine,18000 Jijel,Algérie",+213 34 476753,,,,Siège,None,,,DZ000881,Hôtels et motels,"Hôtels,Hôtels-restaurants,Hôtels avec salle de conférence"
"Centre National du Registre du Commerce,EPA",Wilaya Jijel,"Cité 24 logts ETLS village Moussa,18000 Jijel,Algérie",+213 34 498942,,,,Siège,None,,,DZ016383,"Services juridiques,Administrations publiques","Services de recherches et inscriptions au Registre du Commerce,Bureaux d'enregistrement des sociétés"
Imprimerie ESSAADA,Wilaya Jijel,"Zone d'Activité, cité Rabeta,BP 61,18300 El Milia,Algérie",+213 34 428456,BEA Jijel,,,Siège,None,,,DZ001306,"Articles de papeterie,Impression à plat","Articles de papeterie pour comptabilité,Impression de formulaires commerciaux,Impression d'articles de papeterie"
Tannerie  Mégisserie KHENIFAR,Wilaya Jijel,"Siège Social & Usine: 3ème Km, route de Constantine,BP 261,18300 El Milia,Algérie",+213 34 526972,BEA El Milia-20 Août 1955,,,Siège,1980,,De 50 à 99 employés,DZ001237,"Ovins, caprins et porcins,Cuirs et peaux de bovins et d'équidés,Cuirs et peaux d'ovins, de caprins et de chamois,Traitement des cuirs, peaux et fourrures,Tannage des peaux,Cuirs, peaux et fourrures traités,Cuirs et peaux par usage","Ovins reproducteurs,Croûtes de cuirs de bovins,Peaux de veaux et vachettes,Peaux de mouton,Peaux d'agneau,Peaux de chèvre,Dérayage et refendage des cuirs et peaux de bovins et d'équidés à façon,Teinture du cuir,Finissage velours de cuirs et peaux de bovins et équidés,Métallisation de cuirs et peaux de bovins et équidés,Vernissage des cuirs et peaux de bovins et d'équidés,Traitement des peaux à façon,Tannage de cuirs de bovins et d'équidés,Mégissage de cuirs et peaux d'ovins, de caprins et de chamois,Cuirs de bovins vernis,Cuirs Nubuck,Cuirs et peaux de bovins grenus et mégis,Cuirs velours (cuir bovin),Cuir nappa,Cuir suède (peau de daim),Peaux d'agneau et de mouton mégissées,Croûtes de mouton,Cuirs et peaux de bovins et d'équidés pour chaussures,Cuirs et peaux de bovins et d'équidés pour petite maroquinerie,Cuirs et peaux de bovins et d'équidés pour articles de voyage,Cuirs et peaux de bovins et d'équidés pour articles de sport,Cuirs et peaux de bovins et d'équidés pour vêtements et accessoires,Cuirs et peaux de bovins et d'équidés pour chapeaux,Cuirs de bovins pour ganterie,Cuirs et peaux d'ovins et de caprins pour ganterie"
"Entreprise de Promotion Immobilière,Spa",Wilaya Jijel,"Rue Larbi Ben M'hidi, Centre Commercial 2ème étage,BP 65B,18000 Jijel,Algérie",+213 34 471576,BDL Jijel,,,Siège,1986,20 000 000 DZD,De 20 à 49 employés,DZ162252,"Entreprises de bâtiment,Conseil immobilier,Services immobiliers et fonciers,Bâtiments commerciaux et centres d'affaires,Conseil en ingénierie du bâtiment et des travaux publics","Construction de maisons et logements,Construction de logements sociaux,Construction d'hôtels et bureaux,Construction de boutiques et de supermarchés,Conseil en aménagement immobilier,Sociétés immobilières,Location d'immeubles d'habitation,Gestion, vente, location et investissement de bâtiments commerciaux,Conseil en ingénierie pour l'étude et la construction de bâtiments"
BOUCHEMAL Mekki,Wilaya Jijel,"Cité Berkouka,18000 Jijel,Algérie",None,CPA Jijel-Rue Si Haoues,,,Siège,None,,,DZ239670,"Produits en pierres artificielles et reconstituées,Constructions et éléments de construction préfabriqués en béton,Produits en plâtre,Briques céramiques,Matériel d'occasion","Briques en pierre reconstituée,Briques préfabriquées en béton,Briques plâtrières,Parpaings en argile expansée,Matériaux de construction d'occasion"
"Agence Wilaya de Gestion & de Régulation Foncière Urbaine,EPIC",Wilaya Jijel,"Cité Ouled Aissa, rue Boukerdenna Bouaziz,BP 61,18000 Jijel,Algérie",+213 34 503081,BDL Jijel-Camp Chevalier,,,Siège,2004,261 000 DZD,De 50 à 99 employés,DZ195740,"Entreprises de bâtiment,Entreprises de rénovation de bâtiments,Conseil immobilier,Services immobiliers et fonciers","Construction de maisons et logements,Construction de logements sociaux,Construction de boutiques et de supermarchés,Réhabilitation de bâtiments,Conseil en aménagement immobilier,Agents immobiliers pour terrains à bâtir,Gestion immobilière pour industries et commerces"
"Nouvelle Société pour le Développement de l'Industrie du Cuir,Sarl",Wilaya Jijel,"Zone Industrielle Ouled Salah, lot n°101/06,18200 Taher,Algérie",+213 34 4553796,"CPA,BEA Jijel-Si Haouès",,,Siège,1997,20 006 000 DZD,De 0 à 9 employés,DZ195755,"Produits chimiques pour textiles,Produits chimiques pour cuirs et fourrures. Extraits tannants,Machines et matériel de tannage,Installation et maintenance du matériel pour l'industrie du textile,Importateurs et exportateurs,Négoce de matières premières","Agents de retannage pour cuirs,Maintenance et rénovation de machines pour bottes et chaussures, pour le travail du cuir,Importateurs et exportateurs de cuir, peaux et produits en cuir,Importateurs et exportateurs de produits chimiques"
"TENNOUN Automobiles,Sarl",Wilaya Jijel,"13, rue des Frères Khecha,18000 Jijel,Algérie",+213 34 475347,BEA Jijel-Ibn Khaldoun,,,Siège,1992,100 000 DZD,De 20 à 49 employés,DZ015367,"Moteurs marins,Véhicules utilitaires,Pièces détachées pour carrosseries de véhicules automobiles,Pièces détachées pour carrosseries de véhicules automobiles,Organes de transmission pour véhicules automobiles,Equipements électriques et électroniques pour véhicules automobiles,Accessoires pour véhicules automobiles,Services après-vente (SAV),Commerce de détail","Pare-chocs absorbeurs d'énergie pour véhicules utilitaires,Pièces détachées de carrosserie pour véhicules militaires,Concessionnaires automobiles et véhicules industriels"
"Chambre de Commerce & d'Industrie,EPIC",Wilaya Jijel,"Siège social:cité administrative 1er étage,BP 39,18000 Jijel,Algérie",+213 34 475145,,,,Siège,2007,,De 0 à 9 employés,DZ015672,"Services d'information et de documentation thématiques,Chambres de commerce","Services d'informations commerciales,Chambres de commerce"
Entreprise Générale REKIMA,Wilaya Jijel,"Grand Boulevard bt A7 n°3,18300 El Milia,Algérie",+213 34 526603,BNA El Milia,,,Siège,1985,962 740 000 DZD,De 250 à 499 employés,DZ189708,"Structures en métal pour la construction,Constructions et éléments de construction préfabriqués en béton,Installations de chauffage central,Travaux de terrassement, d'excavation, de fondation et construction de tunnels,Travaux d'infrastructures de transport,Travaux auxiliaires pour les travaux publics,Travaux fluviaux, portuaires et hydroélectriques,Travaux d'irrigation, d'aménagement de puits et de sources, et d'approvisionnement d'eau,Entreprises de bâtiment,Travaux d'installation de tuyauterie et de canalisations pour le bâtiment,Travaux d'isolation et d'étanchéification des bâtiments,Travaux d'installation et de maintenance de gaz, eau, chauffage, ventilation et conditionnement d'air,Matériel de traitement de l'eau, des eaux usées domestiques et des effluents industriels,Matériel de traitement de l'eau, des eaux usées domestiques et des effluents industriels,Conseil immobilier,Services immobiliers et fonciers,Location de matériel pour le génie civil, le bâtiment et les travaux publics","Constructions métalliques structurelles sur spécification client,Bardages extérieurs préfabriqués en béton,Installations de chauffage central à gaz,Travaux de terrassement,Travaux d'excavation pour pipelines,Travaux d'égouts, de réseaux d'assainissement, d'adduction et de drainage,Construction de digues,Construction et entretien de routes, chaussées, voirie,Travaux de sablage pour génie civil, bâtiment et travaux publics (BTP),Construction de structures/charpentes métalliques pour le génie civil,Construction de pipelines,Drainage de barrages et de retenues d'eau,Travaux d'adduction, distribution d'eau et stations de traitement des eaux,Entreprises de bâtiment tous corps d'état,Entreprises de charpente et menuiserie,Construction de structures et ouvrages en béton et béton armé,Construction de maisons et logements,Construction de logements sociaux,Construction d'hôtels et bureaux,Construction d'écoles, de collèges et d'universités,Construction de bâtiments d'aéroports et de hangars pour avions,Installation de tuyauterie et canalisations pour les installations de production de gaz,Travaux d'étanchéification à l'eau pour bâtiments, étanchéification de toitures et terrasses,Travaux de plomberie pour installations sanitaires,Installations complètes pour le traitement des eaux usées et effluents industriels,Installations de traitement des eaux usées pour industries du travail des métaux,Installations de stérilisation des eaux,Installations de dessalement des eaux,Conseil en aménagement immobilier,Agents immobiliers pour terrains agricoles,Matériel de drainage pour chantiers (location),Matériel de construction (location),Camions à benne basculante (location),Bétonnières (location),Coffrages pour béton (location)"
